element,id,contact:website,light_rail,name,network,network:short,official_name,operator,public_transport,railway,railway:ref,railway:station_category,station,uic_ref,wheelchair,wikidata,wikipedia,contact:phone,departures_board,departures_board:speech_output,description,ref,network:wikidata,train,uic_name,loc_name,note,start_date,toilets:wheelchair,subway,image,source,line,atm,atm:operator,operator:short,operator:wikidata,check_date:wheelchair,level,internet_access,surveillance,internet_access:fee,railway:ref:parent,addr:city,addr:housenumber,addr:postcode,addr:street,ref:station,source:address,phone,website,wikimedia_commons,surveillance:type,name:VBB,wheelchair:description,wheelchair:source,old_name,url,not:network:wikidata,layer,site,short_name,alt_name,postal_code,usage,name:ja,platforms,note:old_name,fixme,heritage,heritage:operator,lda:criteria,ref:lda,description:ar,description:de,description:en,description:es,description:fr,description:ja,description:nl,description:ru,iata,name:be,name:de,name:el,name:en,name:es,name:fr,name:hu,name:it,name:nl,tactile_paving,old_name:1958-05-31--1961,old_name:1961--1974-11,old_name:1974-11--2003-01-06,location,description:old_name,source:old_name,internet_access:ssid,shelter,name:ko,name:ru,ref_name,geometry
node,21302157,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/tiergarten/151,yes,Tiergarten,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Tiergarten,DB Netz AG,station,station,BTGN,4,light_rail,8089091,yes,Q572112,de:Bahnhof Berlin-Tiergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3364504 52.5143746)
node,26124376,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/westend/157,yes,Westend,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Westend,DB Netz AG,station,station,BWES,4,light_rail,8089111,yes,Q323214,de:Bahnhof Berlin-Westend,+49 30 297 43333,realtime,no,S Westend Gleis 1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2844201 52.5180135)
node,26603219,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wannsee/1,yes,Wannsee,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Wannsee S-Bahn,DB Netz AG,station,station,BWSS,2,light_rail,8010405,yes,Q567336,de:Bahnhof Berlin-Wannsee,+49 30 297 43333,,,,,Q315451,yes,Berlin Wannsee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.1798077 52.4214071)
node,26943869,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/pichelsberg/121,yes,Pichelsberg,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Pichelsberg,DB Netz AG,station,station,BPIC,5,light_rail,8089331,yes,Q800488,de:Bahnhof Berlin Pichelsberg,,,,,2,,,Berlin-Pichelsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2276304 52.5101503)
node,27215654,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/grunewald/67,yes,Grunewald,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Grunewald S-Bahn,DB Station&Service AG,station,station,BGWD,4,light_rail,8089062,yes,Q457266,de:Bahnhof Berlin-Grunewald,+49 30 297 43333,,,,,,,Berlin-Grunewald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2610104 52.4882479)
node,27556933,,,Berlin Zoologischer Garten,,,,DB Netz AG;DB Station&Service AG,station,station,BZOO,2,,8010406,yes,Q681785,de:Bahnhof Berlin Zoologischer Garten,,,,,,,yes,,Bahnhof Zoo,"S-Bahn-Bahnhof ist eigenständiger Bahnhof, daher zwei Bahnhöfe hier!",1882-02-07,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3325608 52.5074342)
node,27586255,,,Ruhleben,,,,,station,station,,,subway,,yes,Q656401,de:U-Bahnhof Ruhleben,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2414191 52.5256744)
node,28830281,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/karow/88,yes,Karow,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Karow S-Bahn,DB Netz AG,station,station,BKRW,4,light_rail,8011046,yes,Q800480,de:Bahnhof Berlin-Karow,+49 30 297 43333,,,,,,yes,Berlin-Karow,,,1882-11-15,,,https://upload.wikimedia.org/wikipedia/commons/7/70/-Bahnhof_Karow_Bahnsteig.jpg,https://de.wikipedia.org/wiki/Bahnhof_Berlin-Karow;https://www.stadtschnellbahn-berlin.de/bahnhof/bahnhof.php?bhf=275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4694647 52.6152148)
node,29045595,,,Amrumer Straße,,,,,station,station,,,subway,,yes,Q557577,de:U-Bahnhof Amrumer Straße,,,,,,,,,,,,,yes,,,U9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3501546 52.5423332)
node,29046450,,,Zoologischer Garten,Verkehrsverbund Berlin-Brandenburg,VBB,,Berliner Verkehrsbetriebe,station,station,,,subway,,yes,,,,,,,,Q315451,yes,,,,,,yes,,,U9,yes,Sparkasse,BVG,Q99633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3330236 52.5058669)
