element,id,operator,railway,railway:local_operated,railway:switch,railway:switch:electric,railway:switch:heated,railway:switch:movable_frog,railway:switch:resetting,railway:turnout_side,ref,source,railway:switch:configuration,description,video,railway:maxspeed:diverging,railway:maxspeed:straight,railway:switch_ref,image,source:ref,fixme,railway:radius,railway:electricity,control,railway:local_operated:home_position,usage,railway:electricity:jumpering,disused,note,level,layer,crossing,tactile_paving,wheelchair,source:description,razed:railway,name,abandoned,railway:track_ref,geometry
node,21302148,DB InfraGO AG,switch,no,default,yes,yes,no,no,right,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3135635 52.5054139)
node,21302154,DB Netz AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3321839 52.5074103)
node,21302159,,switch,,default,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3382628 52.5164998)
node,21487227,DB InfraGO AG,switch,,default,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4295119 52.511889)
node,26124344,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2626673 52.4886322)
node,26124404,DB Netz AG,switch,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3922991 52.5488118)
node,26124405,DB Netz AG,switch,no,default,yes,yes,no,no,right,41W173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4021066 52.5492587)
node,26124409,DB Netz AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4130141 52.5494487)
node,26130461,,switch,no,,yes,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2599495 52.4877309)
node,26130462,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2623037 52.488967)
node,26130463,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2641305 52.4900888)
node,26808010,DB Netz AG,switch,no,default,yes,yes,no,no,right,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2785502 52.4957354)
