element,id,note,operator,railway,source,layer,level,name,ref,description,fixme,video,image,note:maxspeed,railway:preserved,old_name,usage,wikidata,maxheight,wikipedia,name:ja,railway:pzb,detail,electrified,frequency,gauge,maxspeed,passenger_lines,voltage,workrules,railway:etcs,railway:lzb,railway:ballastless,railway:tilting,railway:traffic_mode,service,railway:track_ref,source:maxspeed,tunnel,bridge,railway:radio,highspeed,railway:preferred_direction,bridge:structure,railway:zbs,embankment,maxspeed:backward,maxspeed:forward,railway:ballastless:system,start_date,operator:wikidata,name:en,tracks,railway:gnt,railway:bidirectional,construction:railway:etcs,bridge:name,historic,surface,heritage,heritage:operator,lda:criteria,ref:lda,source:maxspeed:backward,source:maxspeed:forward,cutting,website,maxspeed:source,name:de,wikimedia_commons,covered,designation,abandoned:railway,disused:railway,disused:usage,railway:electricity:ref,bridge:length,railway:main_switch_off,railway:lower_pantograph_section,geometry
way,4364674,,DB Netz AG,rail,,,,,6118,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,120,2,15000,DE:EBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2374061 52.4690856, 13.2371507 52.4688864, 13.2358011 52.4678182, 13.2348849 52.4670931, 13.2340283 52.4664135, 13.2337716 52.4662129, 13.2317578 52.4646197, 13.2304617 52.4635964, 13.2296073 52.4629183, 13.229272 52.4626529, 13.2287502 52.4622398, 13.2285322 52.4620675, 13.2279052 52.4615721)"
way,4403753,,,rail,,,,,6178,,,,,,,,main,,,,,yes,,no,,1435,60,1,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2830188 52.4978306, 13.2831715 52.4978772, 13.2833245 52.4979124, 13.2834452 52.4979387, 13.2835681 52.4979655, 13.2838048 52.4980067, 13.284056 52.4980416, 13.2842963 52.4980667, 13.2845377 52.4980833, 13.2848263 52.4980943, 13.2851156 52.4980929, 13.2853931 52.4980803, 13.285679 52.4980588, 13.2857825 52.4980457, 13.2860491 52.4980085, 13.2862525 52.4979744, 13.2864546 52.4979329, 13.2866932 52.4978777, 13.2868235 52.4978452, 13.2869503 52.4978083, 13.2870781 52.4977712, 13.2871426 52.4977498, 13.287207 52.4977284, 13.2875367 52.4976071, 13.2876434 52.497563, 13.2877459 52.4975175, 13.2879463 52.4974236, 13.2880946 52.4973458, 13.2882407 52.4972654, 13.2885231 52.4970913, 13.2888008 52.4969012, 13.2892685 52.4965762, 13.2901739 52.4959484, 13.2907181 52.4955711, 13.2909973 52.4953845, 13.2913579 52.495122)"
way,4407410,,DB Netz AG,rail,,,,Berliner Außenring,6126,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,120,2,15000,DE:EBO,no,no,no,no,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.5594394 52.4221602, 13.5592003 52.4217513, 13.5591771 52.4217116, 13.558724 52.4209366, 13.5584215 52.420498, 13.5582942 52.4203134, 13.5582398 52.4202345, 13.5578122 52.4196755)"
way,4407774,,DB Netz AG,rail,,,,,6170,,,,,,,,main,,,,,yes,track,no,,1435,60,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.3326485 52.4775779, 13.3321155 52.4775441, 13.331661 52.477536, 13.328843 52.4775564)"
way,4407775,,DB Netz AG,rail,,,0,,6170,,,,,,,,main,,,,,yes,track,no,,1435,100,2,,DE:EBO,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2852853 52.4993469, 13.2849763 52.4995468, 13.2847428 52.4997171, 13.2845422 52.4998748, 13.2843631 52.5000316, 13.284267 52.5001194, 13.2841379 52.5002478, 13.2839302 52.5004719)"
way,4407776,,DB Netz AG,rail,,-2,-1,Berliner Ringbahn,6170,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,100,2,15000,DE:EBO,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.282431 52.5061624, 13.2825085 52.5064129, 13.2826388 52.5067308, 13.2829078 52.5072309, 13.2830247 52.5074148, 13.2833132 52.5078137, 13.2836105 52.5082063, 13.2839168 52.5085964, 13.2842252 52.5089768)"
way,4407777,,DB Netz AG,rail,,,,,,,,,,,,,,,,,,yes,,contact_line,16.7,1435,80,2,15000,DE:EBO,no,no,,,,crossover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2820992 52.5041603, 13.282106 52.5046526, 13.282117 52.5047976, 13.282186 52.5052333, 13.282244 52.5054694, 13.2823797 52.505979)"
way,4434382,,DB Netz AG,rail,,,,,6042,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,80,,15000,DE:EBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2649263 52.4896704, 13.265827 52.4901348, 13.2662411 52.4903229, 13.2668995 52.4905917, 13.2671465 52.4906937, 13.2686 52.4912939, 13.2690413 52.4914924, 13.2692644 52.4915946, 13.2696206 52.491767, 13.2727654 52.4934047, 13.2736066 52.4938306, 13.2738384 52.4939449, 13.2740806 52.4940502, 13.2743619 52.4941581, 13.2746276 52.4942595, 13.2748927 52.4943525, 13.2755171 52.4945606, 13.2764913 52.4948846, 13.276681 52.4949467, 13.2771554 52.495111, 13.2774802 52.4952389, 13.2777782 52.4953641, 13.2778968 52.4954192, 13.2780329 52.4954848, 13.2784166 52.4956696, 13.2785502 52.4957354)"
way,4434431,,DB Netz AG,rail,,,,,6109,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,110,2,15000,DE:EBO,,no,yes,,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2655519 52.5019608, 13.2655482 52.501971, 13.2654135 52.5023372, 13.2650817 52.5031742, 13.2649943 52.5033945, 13.2646231 52.5043443, 13.2644812 52.5046693, 13.2643404 52.5049435, 13.264283 52.505055, 13.2640574 52.5054022, 13.2638822 52.5056418, 13.2636848 52.5058677, 13.2634923 52.5060676, 13.2632741 52.5062632, 13.263173 52.5063522, 13.2630644 52.5064412, 13.2628396 52.5066126, 13.2624547 52.506868, 13.262102 52.5070803, 13.2617734 52.5072501, 13.2613246 52.5074587, 13.2610747 52.5075695, 13.260298 52.5078779, 13.2594832 52.5082042, 13.2592104 52.5083158, 13.2581415 52.5088047, 13.2579699 52.5088942, 13.2577068 52.5090383, 13.2572823 52.5092947, 13.2568911 52.5095685, 13.2565713 52.5098254, 13.2561582 52.5102098, 13.2559691 52.5104122, 13.2557653 52.5106481, 13.2554783 52.5110578, 13.2552154 52.5115492, 13.2550317 52.5119867, 13.2549282 52.5122932, 13.2549208 52.5123151)"
way,4434511,,DB Netz AG,rail,,,,Berliner Ringbahn,6170,,,,,,,,main,,,de:Berliner Ringbahn,,yes,,contact_line,16.7,1435,100,2,15000,DE:EBO,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2858427 52.5127124, 13.2858381 52.5127681, 13.2858099 52.5131101, 13.2857392 52.5135009, 13.2856333 52.5139168, 13.2855058 52.5143569, 13.2853936 52.5146662, 13.2853428 52.5148062, 13.2851752 52.5152908, 13.2850247 52.5157225, 13.2849113 52.5160374, 13.2848854 52.5161124, 13.2847241 52.5165794, 13.284561 52.517019, 13.2843725 52.5174676, 13.2841551 52.5179236, 13.2839877 52.5182926, 13.2839771 52.5183156, 13.2837212 52.5188544, 13.2835445 52.5192828, 13.2834214 52.5196571, 13.2833897 52.5197533, 13.2832647 52.5202338, 13.2831789 52.5207601, 13.2831625 52.5208631, 13.2830704 52.5214116, 13.2829779 52.521929, 13.2829582 52.522024, 13.282809 52.5229335, 13.2827641 52.5232221, 13.2827352 52.5234094, 13.2827051 52.5237307, 13.2826864 52.5241168, 13.2826814 52.5245718)"
