element,id,railway,crossing:barrier,crossing,geometry
node,31390977,crossing,,,POINT (13.4633763 52.421081)
node,95952811,crossing,no,,POINT (13.5462277 52.4640762)
node,95956055,crossing,no,uncontrolled,POINT (13.5424337 52.4600584)
node,95956062,crossing,no,,POINT (13.5447321 52.4635626)
node,95958375,crossing,no,,POINT (13.5502957 52.461007)
node,142109815,crossing,no,,POINT (13.2784549 52.4299273)
node,151022446,crossing,full,,POINT (13.5682181 52.5126366)
node,151022450,crossing,full,,POINT (13.5682455 52.5127249)
node,248155564,crossing,no,traffic_signals,POINT (13.5502951 52.4682985)
node,248155596,crossing,no,,POINT (13.5516221 52.4687845)
node,248649519,crossing,no,,POINT (13.4475919 52.4251535)
node,249498418,crossing,,,POINT (13.2087509 52.5756567)
node,276526550,crossing,yes,,POINT (13.5432697 52.4619304)
node,276526551,crossing,full,,POINT (13.5375098 52.4635413)
node,276526552,crossing,,,POINT (13.5407867 52.4639676)
node,276526554,crossing,no,unmarked,POINT (13.5497493 52.467991)
node,276526555,crossing,no,,POINT (13.5475634 52.4675935)
node,276526556,crossing,full,,POINT (13.5482237 52.4657384)
node,276526557,crossing,no,,POINT (13.5479667 52.4656296)
node,276526558,crossing,no,,POINT (13.5473598 52.4648983)
node,276526559,crossing,no,unmarked,POINT (13.550282 52.4645237)
node,276526565,crossing,no,,POINT (13.5532149 52.4687569)
node,276527706,crossing,full,,POINT (13.5427744 52.4581102)
node,276527707,crossing,no,uncontrolled,POINT (13.5438227 52.4680292)
node,276527708,crossing,no,uncontrolled,POINT (13.54407 52.468348)
node,276527709,crossing,no,unmarked,POINT (13.5392514 52.4664129)
node,276527711,crossing,,unmarked,POINT (13.5420979 52.46611)
node,276691014,crossing,no,uncontrolled,POINT (13.415588 52.4326239)
node,276691020,crossing,no,uncontrolled,POINT (13.4163935 52.4322724)
node,276691023,crossing,no,uncontrolled,POINT (13.4167066 52.432071)
node,281419438,crossing,no,,POINT (13.5439957 52.4629317)
node,291010782,crossing,no,,POINT (13.4684007 52.4213889)
node,292138705,crossing,no,,POINT (13.3802361 52.6199577)
node,296343471,crossing,no,uncontrolled,POINT (13.4218692 52.4309536)
node,296343482,crossing,no,uncontrolled,POINT (13.4221115 52.4321271)
node,296343884,crossing,no,uncontrolled,POINT (13.4128553 52.4331572)
node,297407026,crossing,full,unmarked,POINT (13.1720628 52.5607472)
node,297407036,crossing,no,,POINT (13.1684754 52.5442467)
node,306965198,crossing,yes,,POINT (13.5431678 52.4615209)
node,309156500,crossing,no,uncontrolled,POINT (13.5418735 52.4593045)
node,309157105,crossing,no,traffic_signals,POINT (13.5501457 52.4682605)
node,319250074,crossing,,,POINT (13.5287986 52.4469514)
node,324249235,crossing,no,,POINT (13.2798505 52.4330687)
node,355560499,crossing,no,uncontrolled,POINT (13.4186539 52.4362064)
node,355660345,crossing,no,,POINT (13.5497681 52.4626483)
node,361369009,crossing,no,,POINT (13.4679044 52.4215386)
node,388585657,crossing,no,,POINT (13.3774883 52.6093557)
