element,id,contact:phone,contact:website,internet_access,light_rail,name,network,network:short,note,official_name,operator,public_transport,railway,railway:ref,railway:station_category,station,uic_ref,wheelchair,wikidata,wikipedia,geometry
node,21385751,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/storkower-strasse/142,no,yes,Storkower Straße,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin Storkower Straße,DB Netz AG,station,halt,BSTO,4.0,light_rail,8089041.0,yes,Q800512,de:Bahnhof Berlin Storkower Straße,POINT (13.4648885 52.5237432)
node,21487225,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/jannowitzbruecke/84,,yes,Jannowitzbrücke,Verkehrsverbund Berlin-Brandenburg,VBB,"mangels Weichen ist das ein Haltepunkt, kein Bahnhof",Berlin Jannowitzbrücke,DB Netz AG,station,halt,BJB,4.0,light_rail,8089019.0,yes,Q1647893,de:Bahnhof Berlin Jannowitzbrücke,POINT (13.4194925 52.5142146)
node,26904717,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/heerstrasse/70,,yes,Heerstraße,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Heerstraße,DB Netz AG,station,halt,BHST,5.0,light_rail,8089329.0,yes,Q800502,de:Bahnhof Berlin Heerstraße,POINT (13.2598587 52.5078537)
node,26969275,+49 30 29743333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/hohenzollerndamm/80,,yes,Hohenzollerndamm,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen ist das nur ein Haltepunkt!,Berlin Hohenzollerndamm,DB Netz AG,station,halt,BHO,4.0,light_rail,8089108.0,yes,Q800503,de:Bahnhof Berlin Hohenzollerndamm,POINT (13.3002415 52.488627)
node,27528155,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/bellevue/32,,yes,Bellevue,Verkehrsverbund Berlin-Brandenburg,VBB,Die S-Bahn-Station hat keine Weichen und ist daher ein Haltepunkt.,Berlin Bellevue,DB Netz AG,station,halt,BBEV,4.0,light_rail,8089005.0,yes,Q374018,de:Bahnhof Berlin Bellevue,POINT (13.3480704 52.519985)
node,29030440,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/messe-sued-eichkamp/51,,yes,Messe Süd (Eichkamp),Verkehrsverbund Berlin-Brandenburg,VBB,"ohne Weichen, als nur Haltepunkt, kein Bahnhof (railway=halt)",Berlin Messe Süd,DB Netz AG,station,halt,BMS,5.0,light_rail,8089328.0,yes,Q800504,de:Bahnhof Berlin Messe Süd,POINT (13.2702326 52.4986377)
node,29807251,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/friedrichsfelde-ost/57,no,yes,Friedrichsfelde Ost,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin-Friedrichsfelde Ost,DB Netz AG,station,halt,BFFO,4.0,light_rail,8089059.0,yes,Q800473,de:Bahnhof Berlin-Friedrichsfelde Ost,POINT (13.520088 52.5141126)
node,29858001,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/poelchaustrasse/123,,yes,Poelchaustraße,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Poelchaustraße,DB Netz AG,station,halt,BPOE,5.0,light_rail,8089031.0,yes,Q2180548,en:Berlin Poelchaustraße station,POINT (13.5355776 52.5358712)
node,29858158,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/raoul-wallenberg-strasse/128,,yes,Raoul-Wallenberg-Straße,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin Raoul-Wallenberg-Straße,DB Netz AG,station,halt,BRW,5.0,light_rail,8089035.0,yes,Q2150651,de:Bahnhof Berlin Raoul-Wallenberg-Straße,POINT (13.5475595 52.5507334)
node,29858448,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/mehrower-allee/104,,yes,Mehrower Allee,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin Mehrower Allee,DB Netz AG;DB Station&Service AG,station,halt,BMEA,5.0,light_rail,8089022.0,yes,Q1973570,de:Bahnhof Berlin Mehrower Allee,POINT (13.5535509 52.557608)
node,29919745,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/hirschgarten/77,no,yes,Hirschgarten,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin-Hirschgarten,DB Netz AG,station,halt,BHI,5.0,light_rail,8089065.0,no,Q4892435,de:Bahnhof Berlin-Hirschgarten,POINT (13.6031386 52.4579033)
node,29921519,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/spindlersfeld/140,,yes,Spindlersfeld,Verkehrsverbund Berlin-Brandenburg,VBB,Die S-Bahn-Station hat keine Weichen und ist daher ein Haltepunkt.,Berlin-Spindlersfeld,DB Netz AG,station,halt,BSPF,5.0,light_rail,8089088.0,yes,Q4892371,,POINT (13.5615738 52.4468976)
node,30217208,,,wlan,,Berlin Alexanderplatz,Verkehrsverbund Berlin-Brandenburg,,"Berlin Alexanderplatz (Fernbahngleise) ist von der S-Bahn-Station unabhängig und nur ein Haltepunkt, da es keine einzige Weiche gibt.",,DB Netz AG,station,halt,BALE,3.0,,8089001.0,yes,Q698497,de:Bahnhof Berlin Alexanderplatz,POINT (13.4110794 52.5214574)
node,30353086,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/brandenburger-tor/153,,yes,Brandenburger Tor,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Brandenburger Tor,DB Netz AG,station,halt,BTOR,4.0,light_rail,8089044.0,no,Q477185,de:Bahnhof Berlin Brandenburger Tor,POINT (13.3818418 52.5164415)
node,34666754,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/westkreuz/159,,yes,Westkreuz,Verkehrsverbund Berlin-Brandenburg,VBB,Für den Personenverkehr benutzt die Bahn in der Regel das Kürzel BWKR und nicht BWKRR oder BWKR.,Berlin Westkreuz (Ringbahn),DB Netz AG,station,halt,BWKRR,3.0,light_rail,8089047.0,yes,Q678125,de:Bahnhof Berlin Westkreuz,POINT (13.2839193 52.5007919)
node,111541810,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/julius-leber-bruecke/183,,yes,Julius-Leber-Brücke,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin Julius-Leber-Brücke SB,DB Netz AG,station,halt,BJLB,5.0,light_rail,8089537.0,yes,Q319809,de:Bahnhof Berlin Julius-Leber-Brücke,POINT (13.3611679 52.4865053)
node,143788468,,,,,Albrechtshof,,,"Das ist ein Haltepunkt, kein Bahnhof, da keine Weichen vorhanden. Siehe auch § 4 Abs. 2 EBO.",Berlin-Albrechtshof,DB Netz AG,station,halt,BAS,5.0,,8080040.0,yes,Q800470,de:Bahnhof Berlin-Albrechtshof,POINT (13.1292803 52.5493097)
