element,id,operator,railway,railway:signal:combined,railway:signal:direction,railway:signal:position,ref,description,note,geometry
node,21385741,DB Netz AG,signal,DE-ESO:ks,backward,bridge,6051,Unknown,Unknown,POINT (13.4749361 52.5144995)
node,21385749,DB InfraGO AG,signal,DE-ESO:ks,forward,right,6042,Unknown,Unknown,POINT (13.4681211 52.5229491)
node,26124361,,signal,,forward,right,,"Geschwindigkeitssignal (Lf7 ""8"") in nordöstlicher Richtung",die Geschwindigkeitssignale beider Richtungen hängen an einem gemeinsamen Mast,POINT (13.3442936 52.5362008)
node,26124378,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.2841186 52.5187489)
node,26124387,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.2824183 52.5051706)
node,26124416,DB InfraGO AG,signal,,backward,bridge,,Unknown,Unknown,POINT (13.4231488 52.546232)
node,26124422,DB InfraGO AG,signal,DE-ESO:ks,backward,left,,Unknown,Unknown,POINT (13.4453174 52.5377703)
node,26124424,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.454646 52.5297239)
node,26162548,DB InfraGO AG,signal,DE-ESO:ks,forward,bridge,304,Unknown,Unknown,POINT (13.3820159 52.5214127)
node,26162555,,signal,DE-ESO:ks,forward,right,320,Unknown,Unknown,POINT (13.3666593 52.5245643)
node,26603183,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.1948867 52.4325141)
node,26808015,,signal,,forward,right,,Unknown,Unknown,POINT (13.285679 52.4980588)
node,26808020,,signal,,backward,left,,Unknown,Unknown,POINT (13.2889143 52.4969609)
node,26868579,,signal,,backward,bridge,,Unknown,Unknown,POINT (13.2868251 52.498412)
node,26868593,DB Netz AG,signal,,backward,right,,Unknown,Unknown,POINT (13.2826113 52.4990725)
node,26904713,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.2580107 52.5088251)
node,26906139,,signal,DE-ESO:ks,forward,right,72 2623,Unknown,Unknown,POINT (13.2654956 52.4333456)
node,26936184,DB InfraGO AG,signal,DE-ESO:ks,forward,right,874,Unknown,Unknown,POINT (13.2865597 52.4988274)
node,26936187,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.2895807 52.4966367)
node,26943867,,signal,DE-ESO:ks,forward,right,3465,Ks-Mehrabschnittssignal in westlicher Richtung,Unknown,POINT (13.2296652 52.5096592)
node,26953340,DB Netz AG,signal,DE-ESO:ks,forward,right,6081,Unknown,Unknown,POINT (13.4624785 52.4947503)
node,26969279,DB InfraGO AG,signal,DE-ESO:ks,forward,left,852,Unknown,Unknown,POINT (13.3010445 52.4879301)
node,26969280,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.3057247 52.4843884)
node,27011998,DB InfraGO AG,signal,DE-ESO:ks,forward,bridge,340,Unknown,Mastschild schwarz-weiß,POINT (13.3426326 52.5196931)
node,27199988,DB InfraGO AG,signal,DE-ESO:ks,backward,bridge,4424,Unknown,Unknown,POINT (13.3994725 52.5598564)
node,27200021,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.3978651 52.5505449)
node,27216278,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.2860024 52.5127507)
node,27216301,DB InfraGO AG,signal,,backward,bridge,,Unknown,Unknown,POINT (13.2839771 52.5183156)
node,27252555,DB InfraGO AG,signal,DE-ESO:ks,forward,right,72 2635,Unknown,Unknown,POINT (13.2545855 52.4301219)
node,27257038,DB Netz AG,signal,DE-ESO:ks,backward,left,51 N5,Unknown,"Zeigt Zs2 ""S"" und Zs3 ""5"" für Ausfahrt ins S-Gleis (zweites Gleis von Westen)",POINT (13.3705331 52.523532)
node,27411243,,signal,DE-ESO:ks,backward,left,81,Ks-Mehrabschnittssignal in westlicher Richtung,Unknown,POINT (13.4008209 52.522401)
node,27411605,,signal,DE-ESO:ks,forward,bridge,52,Unknown,Unknown,POINT (13.4143813 52.5194416)
node,27426142,DB Netz AG,signal,DE-ESO:ks,forward,right,,"Ks-Mehrabschnittssignal, mit variablem Geschwindigkeitsvoranzeiger (Zs3v) und variablem Geschwindigkeitsanzeiger (Zs3v), in nördlicher Richtung","Zeigt Zs3 ""10"", Zs3v ""9"" (bei Ks1) für gerade Durchfahrten",POINT (13.3738958 52.5171021)
node,27492100,,signal,DE-ESO:ks,forward,right,,Unknown,Unknown,POINT (13.3471822 52.4422271)
node,27527903,DB Netz AG,signal,DE-ESO:ks,forward,left,346,Unknown,Unknown,POINT (13.3368472 52.5149693)
node,27528154,,signal,DE-ESO:ks,backward,left,335,Unknown,Unknown,POINT (13.346717 52.5200216)
node,27528164,DB InfraGO AG,signal,DE-ESO:ks,forward,bridge,326,Unknown,Unknown,POINT (13.3616244 52.5219844)
node,27536644,DB Netz AG,signal,DE-ESO:ks,forward,right,1218,Ks-Mehrabschnittssignal als Blocksignal in nordöstlicher Richtung,Unknown,POINT (13.340949 52.518756)
node,27540511,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.3859152 52.4706787)
node,27540550,DB InfraGO AG,signal,,backward,bridge,,Unknown,Unknown,POINT (13.4083098 52.4649738)
node,27556915,DB Netz AG,signal,,forward,right,,"Geschwindigkeitssignal (lf7 ""6"") in östlicher Richtung",Unknown,POINT (13.3225057 52.5048419)
node,27556939,DB Netz AG,signal,DE-ESO:ks,forward,right,1220,Zs-Mehrabschnittssignal ohne Zusatzanzeiger in Richtung Osten,Unknown,POINT (13.3359457 52.5129426)
node,27560080,,signal,,backward,left,,Unknown,Unknown,POINT (13.2486601 52.5230221)
node,27587873,,signal,,backward,left,,Unknown,Unknown,POINT (13.2777002 52.5282653)
node,28096460,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.3664967 52.4737318)
node,28096699,DB InfraGO AG,signal,DE-ESO:ks,forward,right,65 F,Unknown,Unknown,POINT (13.3682018 52.4722206)
node,28469420,,signal,DE-ESO:ks,backward,left,87 ZV 14,Ks-Mehrabschnittssignal in östlicher Richtung,trägt einen Zusatzanzeiger rechts unterhalb des Signalschirms,POINT (13.199691 52.5341489)
node,29030465,,signal,,forward,right,,Unknown,Unknown,POINT (13.2548641 52.5123086)
node,29030469,,signal,,forward,right,,Unknown,Unknown,POINT (13.2666737 52.5001722)
node,29121708,DB InfraGO AG,signal,DE-ESO:ks,forward,left,473,Unknown,Unknown,POINT (13.380835 52.5372084)
node,29273280,DB Netz AG,signal,DE-ESO:ks,forward,right,452,Unknown,Unknown,POINT (13.2879155 52.4999735)
node,29273287,DB Netz AG,signal,DE-ESO:ks,backward,left,451,Unknown,Unknown,POINT (13.2916709 52.5024642)
node,29707221,DB InfraGO AG,signal,,backward,left,,"Geschwindigkeitssignal (Lf 7 ""9"") in östlicher Richtung",Unknown,POINT (13.3525432 52.5368847)
node,29803450,DB Netz AG,signal,DE-ESO:ks,forward,left,1163,Unknown,Unknown,POINT (13.4864062 52.5042436)
node,29804048,DB Netz AG,signal,,backward,right,,Unknown,Unknown,POINT (13.4846123 52.4996259)
node,29805119,DB Netz AG,signal,,forward,bridge,,Ks-Vorsignalwiederholer in Richtung Osten,Unknown,POINT (13.3859254 52.5203036)
node,29805134,DB Netz AG,signal,,backward,bridge,19B,Ks-Hauptsignal als Einfahrsignal in westlicher Richtung,Unknown,POINT (13.3987563 52.5222678)
node,29807229,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.5035943 52.5131524)
node,29807238,DB InfraGO AG,signal,DE-ESO:ks,forward,left,1183,Unknown,Unknown,POINT (13.5038866 52.5125972)
node,29807245,DB InfraGO AG,signal,DE-ESO:ks,forward,right,1185,Unknown,Unknown,POINT (13.5085041 52.5130964)
node,29808160,DB Netz AG,signal,,backward,left,,Ks-Vorsignal mit zwei Zusatzanzeigern in Richtung Wriezen,Unknown,POINT (13.5307237 52.5143684)
node,29808258,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.5416104 52.5153423)
node,29808756,DB Netz AG,signal,,backward,right,,Unknown,Unknown,POINT (13.4959807 52.4947431)
node,29808773,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4915787 52.4958705)
node,29857998,DB InfraGO AG,signal,DE-ESO:ks,forward,right,,Unknown,Unknown,POINT (13.5351491 52.5325696)
node,29877557,DB InfraGO AG,signal,,backward,left,25 315,Unknown,Unknown,POINT (13.548316 52.5138059)
node,29877609,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.5481509 52.5060523)
node,29879247,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4587385 52.4894406)
node,29918290,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.5820844 52.5122606)
node,29919668,DB InfraGO AG,signal,DE-ESO:ks,forward,bridge,1482,Unknown,Unknown,POINT (13.5626272 52.4648669)
node,29919690,,signal,,forward,right,,Unknown,Unknown,POINT (13.5506501 52.4652775)
node,30205985,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.1934203 52.4310582)
node,30206105,DB Netz AG,signal,DE-ESO:ks,forward,right,970,Ks-Mehrabschnittssignal in südöstlicher Richtung,Unknown,POINT (13.3635274 52.5413588)
node,30206119,DB InfraGO AG,signal,DE-ESO:ks,forward,right,984,Ks-Mehrabschnittssignal in westlicher Richtung,Unknown,POINT (13.3778213 52.5473872)
node,30206129,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.3860567 52.5488651)
node,30206135,DB Netz AG,signal,,forward,right,,"Geschwindigkeitssignal (Lf7 ""6"") in östlicher Richtung",Unknown,POINT (13.3873553 52.548819)
node,30206138,DB Netz AG,signal,DE-ESO:ks,forward,left,494,Ks-Mehrabschnittssignal in westlicher Richtung,steht am Bahnsteigende in westlicher Richtung links,POINT (13.3882349 52.5492129)
node,30206141,DB Netz AG,signal,,backward,left,492,Unknown,Unknown,POINT (13.3882928 52.5489225)
node,30206349,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.3968018 52.550103)
node,30206494,DB InfraGO AG,signal,DE-ESO:ks,backward,left,,Unknown,Unknown,POINT (13.4000176 52.5502701)
node,30206495,DB InfraGO AG,signal,,forward,left,,Unknown,Unknown,POINT (13.3996235 52.5505304)
node,30206500,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4028744 52.5495601)
node,30206502,DB Netz AG,signal,,forward,left,,Unknown,Unknown,POINT (13.3978273 52.5539273)
node,30206505,DB InfraGO AG,signal,DE-ESO:ks,forward,right,4030,Unknown,Unknown,POINT (13.3974352 52.5555038)
node,30206515,DB Netz AG,signal,DE-ESO:ks,forward,right,4027,Unknown,Unknown,POINT (13.398601 52.552876)
node,30206519,DB Netz AG,signal,DE-ESO:ks,forward,right,4007,Unknown,Unknown,POINT (13.3959866 52.5495071)
node,30206525,DB Netz AG,signal,DE-ESO:ks,forward,right,4009,Unknown,Unknown,POINT (13.3963434 52.549529)
node,30206530,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.398092 52.5504736)
node,30206650,DB Netz AG,signal,DE-ESO:ks,forward,right,41 ZU206,Unknown,"Zeigt Zs 3 ""8"" mit Zs 2v ""B"" für Fahrstraße nach Gesundbrunnen Gleis 6",POINT (13.3980719 52.5500897)
node,30207265,DB Netz AG,signal,DE-ESO:ks,backward,left,41 ZU160,Unknown,Unknown,POINT (13.3995999 52.5491288)
node,30207288,DB Netz AG,signal,,backward,bridge,,Ks-Vorsignal in Richtung Ostkreuz,Unknown,POINT (13.4036863 52.5492757)
node,30207291,DB Netz AG,signal,,forward,right,,Ks-Vorsignalwiederholer mit einem Zusatzanzeiger,Unknown,POINT (13.4051601 52.5493142)
node,30207295,DB Netz AG,signal,,backward,left,,Unknown,Unknown,POINT (13.3976866 52.5573667)
node,30208238,DB Netz AG,signal,,backward,bridge,,Ks-Vorsignalwiederholer mit einem Zusatzanzeiger,Unknown,POINT (13.4202925 52.5475674)
node,30208244,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4283792 52.5438098)
node,30208264,DB Netz AG,signal,,forward,right,,Ks-Vorsignal mit zwei Zusatzanzeigern,Unknown,POINT (13.4307677 52.5430685)
node,30208855,DB Netz AG,signal,,backward,right,,Unknown,Unknown,POINT (13.4260003 52.5446126)
node,30208858,DB Netz AG,signal,DE-ESO:ks,forward,bridge,43 A,Unknown,Unknown,POINT (13.4307053 52.5430465)
node,30209503,DB Netz AG,signal,DE-ESO:ks,backward,right,43 FF,Unknown,Unknown,POINT (13.4505128 52.5334713)
node,30209516,DB Netz AG,signal,DE-ESO:ks,forward,right,43 F,Unknown,Unknown,POINT (13.4505705 52.5334917)
node,30210462,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4744603 52.5157595)
node,30210463,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.4743967 52.5157483)
node,30210469,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4752662 52.5140412)
node,30212021,DB Netz AG,signal,DE-ESO:ks,forward,right,17 ZV 412,Unknown,"Zeigt Ks 2 + Zs 3 ""9"" und Zs 3v dunkel mit verkürztem Bremswegabstand, dann Ks 1 + Zs 3 ""10"" und Zs 3v ""6"" mit verkürztem Bremswegabstand für Fahrstraße nach 18 ZW 227 und Einfahrt nach Ostbahnhof Gleis 7",POINT (13.4482819 52.5066197)
node,30214862,DB Netz AG,signal,DE-ESO:ks,backward,left,1,Ks-Mehrabschnittssignal bestehend aus 3 Zusatzanzeigern in nordwestlicher Richtung,Unknown,POINT (13.4339313 52.511104)
node,30215152,DB Netz AG,signal,DE-ESO:ks,backward,left,17 ZW403,Unknown,"Zeigt scheinbar nicht für alle Fahrstraßen verkürzten Bremsweg; Zeigt Ks 2 + Zs 3 ""4"" ohne verkürzten Bremswegabstand für Einfahrt nach Ostbahnhof Gleis 3 über Weichenverbindung 214, 205, 204, 203",POINT (13.4452531 52.5069844)
node,30215166,DB Netz AG,signal,DE-ESO:ks,forward,right,7,Ks-Mehrabschnittssignal bestehend aus 4 Zusatzanzeigern in nordwestlicher Richtung,"Das Zs2 zeigt ""R"" für Fahrten ins Regelgleis; Wurde im Zuge der Hallendachsanierung vom Bahnsteig auf die andere Gleisseite versetzt",POINT (13.4341739 52.5113092)
node,30215167,DB Netz AG,signal,DE-ESO:ks,forward,right,5,Ks-Mehrabschnittssignal bestehend aus 4 Zusatzanzeigern in nordwestlicher Richtung,"Das Zs2 zeigt ""R"" für Fahrten ins Regelgleis",POINT (13.4340801 52.5112283)
node,30215181,DB Netz AG,signal,,forward,right,,KS-Vorsignalwiederholer in nordwestlicher Richtung,abgehangen von Dach,POINT (13.4337421 52.5109953)
node,30215207,DB Netz AG,signal,,backward,left,,Unknown,Unknown,POINT (13.4310089 52.511337)
node,30217217,,signal,DE-ESO:ks,forward,bridge,19717,KS-Mehrabschnittssignal als Blocksignal in westlicher Richtung,Unknown,POINT (13.4066108 52.5233187)
node,30219474,,signal,,forward,right,,Unknown,Unknown,POINT (13.5163917 52.4851566)
node,30244984,,signal,,backward,right,,Unknown,Unknown,POINT (13.3099685 52.6154966)
node,30302056,,signal,,forward,overhead,,Unknown,Unknown,POINT (13.3362076 52.5422141)
node,30303877,,signal,,forward,overhead,,Unknown,Unknown,POINT (13.3629265 52.5561183)
node,30353060,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.3705934 52.4854914)
node,30353083,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.3774323 52.5155091)
node,30353446,,signal,DE-ESO:ks,forward,right,,Unknown,Unknown,POINT (13.3908322 52.5298995)
node,30353455,DB InfraGO AG,signal,DE-ESO:ks,forward,right,2510,Unknown,Unknown,POINT (13.370279 52.4944287)
node,30353470,,signal,,forward,right,,"Geschwindigkeitsankündesignal (lf6 ""4"") in nordöstlicher Richtung",Unknown,POINT (13.3635277 52.469878)
node,30353473,,signal,DE-ESO:ks,backward,left,54E,Unknown,Unknown,POINT (13.365738 52.4709414)
