element,id,contact:website,light_rail,name,network,network:short,official_name,operator,public_transport,railway,railway:ref,railway:station_category,station,uic_ref,wheelchair,wikidata,wikipedia,geometry
node,21302157,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/tiergarten/151,yes,Tiergarten,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Tiergarten,DB Netz AG,station,station,BTGN,4.0,light_rail,8089091.0,yes,Q572112,de:Bahnhof Berlin-Tiergarten,POINT (13.3364504 52.5143746)
node,26124376,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/westend/157,yes,Westend,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Westend,DB Netz AG,station,station,BWES,4.0,light_rail,8089111.0,yes,Q323214,de:Bahnhof Berlin-Westend,POINT (13.2844201 52.5180135)
node,26603219,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wannsee/1,yes,Wannsee,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Wannsee S-Bahn,DB Netz AG,station,station,BWSS,2.0,light_rail,8010405.0,yes,Q567336,de:Bahnhof Berlin-Wannsee,POINT (13.1798077 52.4214071)
node,26943869,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/pichelsberg/121,yes,Pichelsberg,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Pichelsberg,DB Netz AG,station,station,BPIC,5.0,light_rail,8089331.0,yes,Q800488,de:Bahnhof Berlin Pichelsberg,POINT (13.2276304 52.5101503)
node,27215654,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/grunewald/67,yes,Grunewald,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Grunewald S-Bahn,DB Station&Service AG,station,station,BGWD,4.0,light_rail,8089062.0,yes,Q457266,de:Bahnhof Berlin-Grunewald,POINT (13.2610104 52.4882479)
node,27556933,Unknown,,Berlin Zoologischer Garten,,,,DB Netz AG;DB Station&Service AG,station,station,BZOO,2.0,,8010406.0,yes,Q681785,de:Bahnhof Berlin Zoologischer Garten,POINT (13.3325608 52.5074342)
node,27586255,Unknown,,Ruhleben,,,,,station,station,,,subway,,yes,Q656401,de:U-Bahnhof Ruhleben,POINT (13.2414191 52.5256744)
node,28830281,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/karow/88,yes,Karow,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Karow S-Bahn,DB Netz AG,station,station,BKRW,4.0,light_rail,8011046.0,yes,Q800480,de:Bahnhof Berlin-Karow,POINT (13.4694647 52.6152148)
node,29045595,Unknown,,Amrumer Straße,,,,,station,station,,,subway,,yes,Q557577,de:U-Bahnhof Amrumer Straße,POINT (13.3501546 52.5423332)
node,29046450,Unknown,,Zoologischer Garten,Verkehrsverbund Berlin-Brandenburg,VBB,,Berliner Verkehrsbetriebe,station,station,,,subway,,yes,,,POINT (13.3330236 52.5058669)
node,29046970,Unknown,,Kurfürstendamm,,,,,station,station,,,subway,,yes,Q663933,de:U-Bahnhof Kurfürstendamm,POINT (13.3314365 52.5038223)
node,29046976,Unknown,,Güntzelstraße,,,,,station,station,,,subway,,no,Q571563,de:U-Bahnhof Güntzelstraße,POINT (13.3310064 52.4920843)
node,29046979,Unknown,,Berliner Straße,,,,,station,station,,,subway,,yes,Q637739,de:U-Bahnhof Berliner Straße,POINT (13.3310103 52.4873298)
node,29046999,Unknown,,Friedrich-Wilhelm-Platz,,,,,station,station,,,subway,,no,Q559207,de:U-Bahnhof Friedrich-Wilhelm-Platz,POINT (13.3287301 52.4721217)
node,29047043,Unknown,,Walther-Schreiber-Platz,,,,,station,station,,,subway,,yes,Q638584,de:U-Bahnhof Walther-Schreiber-Platz,POINT (13.3282601 52.4653254)
node,29047045,Unknown,,Schloßstraße,,,,Berliner Verkehrsbetriebe,station,station,,,subway,,no,Q554474,de:U-Bahnhof Schloßstraße,POINT (13.3250946 52.461481)
node,29047047,Unknown,,Rathaus Steglitz,,,,,station,station,,,subway,,yes,Q555492,de:Bahnhof Berlin Rathaus Steglitz,POINT (13.3209344 52.4567983)
node,29070457,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/beusselstrasse/38,yes,Beusselstraße,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Beusselstraße,DB Netz AG,station,station,BBEU,4.0,light_rail,8089118.0,yes,Q323219,de:Bahnhof Berlin Beusselstraße,POINT (13.3293873 52.5344077)
node,29123754,Unknown,,Theodor-Heuss-Platz,,,,,station,station,,,subway,,yes,Q657857,de:U-Bahnhof Theodor-Heuss-Platz,POINT (13.2722217 52.5099869)
node,29123761,Unknown,,Neu-Westend,,,,,station,station,,,subway,,no,Q656431,de:U-Bahnhof Neu-Westend,POINT (13.2592357 52.5162154)
node,29123763,Unknown,,Deutsche Oper,,,,,station,station,,,subway,,no,Q869501,de:U-Bahnhof Deutsche Oper,POINT (13.3105328 52.511837)
node,29123764,Unknown,,Ernst-Reuter-Platz,,,,Berliner Verkehrsbetriebe,station,station,,,subway,,no,Q658361,de:U-Bahnhof Ernst-Reuter-Platz,POINT (13.3221613 52.5118853)
node,29190897,Unknown,,Lindauer Allee,,,,,station,station,,,subway,,yes,Q555939,de:U-Bahnhof Lindauer Allee,POINT (13.3384251 52.5754161)
node,29494301,Unknown,,Jannowitzbrücke,,,,,station,station,,,subway,,yes,Q1647893,de:Bahnhof Berlin Jannowitzbrücke,POINT (13.4181732 52.5153554)
node,29497638,Unknown,,Innsbrucker Platz,,,,,station,station,,,subway,,yes,Q3799011,de:Bahnhof Berlin Innsbrucker Platz,POINT (13.3436736 52.478987)
node,29803428,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/rummelsburg/130,yes,Rummelsburg,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Rummelsburg (S-Bahn),DB Netz AG,station,station,BRH,4.0,light_rail,8089084.0,yes,Q15107132,de:Bahnhof Berlin-Rummelsburg (S-Bahn),POINT (13.478367 52.501288)
node,29805967,Unknown,,Berlin-Lichtenberg,Verkehrsverbund Berlin-Brandenburg,VBB,,DB Netz AG;DB Station&Service AG,station,station,BLO,2.0,,8010036.0,yes,Q634247,de:Bahnhof Berlin-Lichtenberg,POINT (13.4961404 52.5097832)
node,29833469,Unknown,,Bayerischer Platz,,,,,station,station,,,subway,,yes,Q668574,de:U-Bahnhof Bayerischer Platz,POINT (13.3405436 52.4885755)
node,29858596,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/marzahn/103,yes,Marzahn,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Marzahn S-Bahn,DB Netz AG,station,station,BMAZ,4.0,light_rail,8089075.0,yes,Q800486,de:Bahnhof Berlin-Marzahn,POINT (13.5413545 52.5436548)
node,29881358,Unknown,yes,Wuhletal,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Wuhletal,DB Netz AG,station,station,BWT,,light_rail,8089049.0,yes,Q552867,de:Bahnhof Berlin Wuhletal,POINT (13.5752134 52.5126122)
node,29918297,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/mahlsdorf/101,yes,Mahlsdorf,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Mahlsdorf,DB Netz AG,station,station,BMDF,4.0,light_rail,8089072.0,yes,Q800484,de:Bahnhof Berlin-Mahlsdorf,POINT (13.6104126 52.5120903)
node,30019733,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/rathaus-steglitz/23,yes,Rathaus Steglitz,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Rathaus Steglitz,DB Netz AG,station,station,BRST,4.0,light_rail,8089036.0,yes,Q555492,de:Bahnhof Berlin Rathaus Steglitz,POINT (13.3224998 52.4555293)
node,30688290,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/hohenschoenhausen/79,yes,Hohenschönhausen,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Hohenschönhausen S-Bahn,DB Netz AG,station,station,BHH,3.0,light_rail,8011901.0,yes,Q800477,de:Bahnhof Berlin-Hohenschönhausen,POINT (13.5124988 52.5662755)
node,30688292,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wartenberg/156,yes,Wartenberg,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Wartenberg,DB Station&Service AG,station,station,BWAB,5.0,light_rail,8089093.0,yes,Q2784530,en:Wartenberg station,POINT (13.5038322 52.572982)
node,30739613,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/marienfelde/102,yes,Marienfelde,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Marienfelde,DB Netz AG,station,station,BMF,5.0,light_rail,8089074.0,no,Q800485,de:Bahnhof Berlin-Marienfelde,POINT (13.3746844 52.4242122)
node,31048718,Unknown,,Hermannstraße,,,,,station,station,,,subway,,yes,Q21235258,de:Bahnhof Berlin Hermannstraße,POINT (13.4314659 52.4672622)
node,31207787,Unknown,,Bismarckstraße,,,,,station,station,,,subway,,yes,Q686132,de:U-Bahnhof Bismarckstraße,POINT (13.3052393 52.5115148)
node,31207789,Unknown,,Richard-Wagner-Platz,,,,,station,station,,,subway,,yes,Q662201,de:U-Bahnhof Richard-Wagner-Platz,POINT (13.306588 52.517387)
node,76474606,Unknown,,Eisenacher Straße,,,,,station,station,,,subway,,yes,Q571170,de:U-Bahnhof Eisenacher Straße,POINT (13.3501694 52.4895529)
node,107606908,Unknown,,Rathaus Reinickendorf,,,,,station,station,,,subway,,yes,Q554477,de:U-Bahnhof Rathaus Reinickendorf,POINT (13.3259254 52.5883733)
node,129730678,Unknown,,Südstern,,,,,station,station,,,subway,,yes,Q656081,de:U-Bahnhof Südstern,POINT (13.4076671 52.4892983)
node,174817813,Unknown,,Yorckstraße,,,,,station,station,,,subway,,yes,Q543907,de:Bahnhof Berlin Yorckstraße,POINT (13.3706891 52.4929715)
node,193661797,Unknown,,Friedrichsfelde,,,,Berliner Verkehrsbetriebe,station,station,,,subway,,yes,Q429781,de:U-Bahnhof Friedrichsfelde,POINT (13.5128387 52.5061644)
node,254087661,Unknown,,Berlin-Charlottenburg,,,,DB Station&Service AG,station,station,BCHB,3.0,,8010403.0,limited,Q702596,de:Bahnhof Berlin-Charlottenburg,POINT (13.3026447 52.5043157)
node,259845849,Unknown,,Gneisenaustraße,,,U-Bahnhof Gneisenaustraße,,station,station,,,subway,,no,Q668618,de:U-Bahnhof Gneisenaustraße,POINT (13.3958247 52.4912895)
node,261941954,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/treptower-park/152,yes,Treptower Park,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Treptower Park,DB Netz AG,station,station,BTP,4.0,light_rail,8089043.0,yes,Q559274,de:Bahnhof Berlin Treptower Park,POINT (13.4618296 52.4938491)
node,266962352,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/olympiastadion/111,yes,Olympiastadion,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Olympiastadion,DB Netz AG;DB Station&Service AG,station,station,BOLS,3.0,light_rail,8089330.0,yes,Q800506,de:Bahnhof Berlin Olympiastadion,POINT (13.242828 52.5112644)
node,267379240,Unknown,,Berlin Südkreuz,,,,DB Netz AG;DB Station&Service AG,station,station,BPAF,1.0,,,yes,Q376589,de:Bahnhof Berlin Südkreuz,POINT (13.3660396 52.4765716)
node,316021790,Unknown,,Kaiserdamm,,,,,station,station,,,subway,,yes,Q656409,de:U-Bahnhof Kaiserdamm,POINT (13.2831263 52.5100921)
node,316785013,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/schoenhauser-allee/135,yes,Schönhauser Allee,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Schönhauser Allee,DB Netz AG,station,station,BSAL,4.0,light_rail,8089039.0,yes,Q571403,de:Bahnhof Berlin Schönhauser Allee,POINT (13.4155955 52.549243)
node,348348641,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/friedrichshagen/58,yes,Friedrichshagen,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Friedrichshagen,DB Netz AG,station,station,BFRH,4.0,light_rail,8089060.0,yes,Q800474,de:Bahnhof Berlin-Friedrichshagen,POINT (13.6232934 52.4573763)
node,353664768,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wuhlheide/170,yes,Wuhlheide,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Wuhlheide (S-Bahn),DB Netz AG,station,station,BWHH,5.0,light_rail,8089097.0,yes,Q800514,de:Bahnhof Berlin Wuhlheide,POINT (13.5543359 52.4685507)
node,455501170,Unknown,,Berlin-Wannsee,,,,DB Netz AG,station,station,BWS,2.0,,8010405.0,yes,Q567336,de:Bahnhof Berlin-Wannsee,POINT (13.1800603 52.421199)
